case_id,time_s,eta_prime_m,incident_eta_prime_m,reflected_eta_prime_m,linear_inlet_velocity_m_per_s,c0_m_per_s
production_lateral,4.29,0.0019999996496048956,3.88210133311135e-20,0.0019999996496048956,0.0044286897754975225,4.428690551393267
production_lateral,4.3,0.0019992173015161217,2.997947123825608e-20,0.0019992173015161217,0.004426957386703196,4.428690551393267
production_lateral,4.3100000000000005,0.0019968045494261483,2.313271162496384e-20,0.0019968045494261483,0.004421614720511336,4.428690551393267
production_lateral,4.32,0.001992767296189005,1.7835060750627328e-20,0.001992767296189005,0.004412674847878877,4.428690551393267
production_lateral,4.33,0.001987115408397151,1.3739411024456115e-20,0.001987115408397151,0.004400159616848217,4.428690551393267
production_lateral,4.34,0.0019798626762043622,1.0575651056207998e-20,0.0019798626762043622,0.004384099563581223,4.428690551393267
production_lateral,4.3500000000000005,0.0019710267572630607,8.133764305645544e-21,0.0019710267572630607,0.004364533788217113,4.428690551393267
production_lateral,4.36,0.0019606291050950826,6.2505974181602614e-21,0.0019606291050950826,0.004341509796260614,4.428690551393267
production_lateral,4.37,0.0019486948823025554,4.7995105070447294e-21,0.0019486948823025554,0.004315083306400871,4.428690551393267
production_lateral,4.38,0.0019352528591102982,3.682288733885596e-21,0.0019352528591102982,0.004285318025849291,4.428690551393267
production_lateral,4.39,0.0019203352978122595,2.82282662798265e-21,0.0019203352978122595,0.0042522853944640645,4.428690551393267
production_lateral,4.4,0.001903977823771526,2.1622009097271177e-21,0.001903977823771526,0.004216064299099636,4.428690551393267
production_lateral,4.41,0.0018862192836957194,1.6548299022070781e-21,0.0018862192836957194,0.004176740759779504,4.428690551393267
production_lateral,4.42,0.001867101591976676,1.2654825117931632e-21,0.001867101591976676,0.004134407589439215,4.428690551393267
production_lateral,4.43,0.001846669565944822,9.669508727881744e-22,0.001846669565944822,0.004089164029122669,4.428690551393267
production_lateral,4.44,0.00182497075094401,7.38240973485912e-22,0.00182497075094401,0.004041115360637406,4.428690551393267
production_lateral,4.45,0.001802055236181641,5.631672032747034e-22,0.001802055236181641,0.003990372498783198,4.428690551393267
production_lateral,4.46,0.0017779754623511782,4.292615987931189e-22,0.0017779754623511782,0.003937051565361869,4.428690551393267
production_lateral,4.47,0.0017527860220596088,3.269280591528923e-22,0.0017527860220596088,0.00388127344725479,4.428690551393267
production_lateral,4.48,0.001726543454120626,2.4878708272137604e-22,0.001726543454120626,0.003823163340916955,4.428690551393267
production_lateral,4.49,0.0016993060327954058,1.891685490865703e-22,0.0016993060327954058,0.003762850285683295,4.428690551393267
production_lateral,4.5,0.0016711335530765507,1.4371943856495643e-22,0.0016711335530765507,0.003700466688313189,4.428690551393267
production_lateral,4.51,0.001642087113117324,1.091007070192442e-22,0.001642087113117324,0.0036361478412136696,4.428690551393267
production_lateral,4.5200000000000005,0.001612228894907445,8.275325627659094e-23,0.001612228894907445,0.0035700314367799048,4.428690551393267
production_lateral,4.53,0.0015816219442889106,6.271740674809963e-23,0.0015816219442889106,0.003502257080274273,4.428690551393267
production_lateral,4.54,0.0015503299513904055,4.749376154901745e-23,0.0015503299513904055,0.0034329658036323357,4.428690551393267
production_lateral,4.55,0.0015184170325374283,3.593606466426756e-23,0.0015184170325374283,0.0033622995825365555,4.428690551393267
production_lateral,4.5600000000000005,0.0014859475146671752,2.716876758023475e-23,0.0014859475146671752,0.0032904008590364134,4.428690551393267
production_lateral,4.57,0.0014529857232432116,2.052366111189177e-23,0.0014529857232432116,0.0032174120719182615,4.428690551393267
production_lateral,4.58,0.001419595774625016,1.5491205145711066e-23,0.001419595774625016,0.003143475196939807,4.428690551393267
production_lateral,4.59,0.0013858413738024114,1.1683179504290227e-23,0.0013858413738024114,0.003068731298944302,4.428690551393267
production_lateral,4.6000000000000005,0.001351785618354665,8.804047306213203e-24,0.001351785618354665,0.0029933200977583048,4.428690551393267
production_lateral,4.61,0.001317490809439607,6.629017406772057e-24,0.001317490809439607,0.0029173795496563273,4.428690551393267
production_lateral,4.62,0.0012830182705595356,4.987253287221964e-24,0.0012830182705595356,0.0028410454460459727,4.428690551393267
production_lateral,4.63,0.0012484281747889012,3.7490321521263574e-24,0.0012484281747889012,0.0027644510308903743,4.428690551393267
